num_leaves,min_data_in_leaf,mean_score,std_score
32,200,0.1746509245083588,0.004656209660991962
64,200,0.17481123407005097,0.005016718697838002
48,150,0.17482307413537812,0.005264771665051176
48,100,0.1748318421585659,0.005170485172488492
32,250,0.1748432363992643,0.004649553761541971
32,100,0.1749052313377673,0.004851647813502581
64,250,0.17491060217227336,0.005082765740544073
32,150,0.17492554886053552,0.004824918308100903
48,250,0.17502006254663957,0.004889515752772209
64,100,0.17509274314244277,0.005134635820307429
64,150,0.1751935534756375,0.005102913867765096
48,200,0.17540535106923932,0.0048881162848513635
96,150,0.1754606855516809,0.0051725372746093045
96,100,0.17554276914540537,0.004766346745132869
96,200,0.1756866335702209,0.004679584389954923
96,250,0.175889416558735,0.005039276075656452
